current_uA,voltage_V
0.0,0.0
0.02,0.00016418586195017217
0.04,0.00032840477603966246
0.06,0.0004926792867918236
0.08,0.0006568461392909962
0.1,0.0008209570431125491
0.12,0.0009854659125920014
0.14,0.0011494171831708624
0.16,0.001313805416983312
0.18,0.0014779979148126015
0.2,0.001642423134280376
0.22,0.001806630233889963
0.24,0.0019707345618107867
0.26,0.002134926584055093
0.28,0.002299126444795569
0.3,0.00246349002202035
0.32,0.0026278243405610255
0.34,0.0027922346490867854
0.36,0.0029560749040705306
0.38,0.0031210287114503766
0.4,0.0032850868621306472
0.42,0.0034500661607878
0.44,0.0036143289457023016
0.46,0.0037787064627348935
0.48,0.003942163232738074
0.5,0.004106931595691037
0.52,0.004271761214246164
0.54,0.004436126246587638
0.56,0.004600004871329236
0.58,0.004764317558469905
0.6,0.0049292229284419896
0.62,0.005095139801927056
0.64,0.005259084280413532
0.66,0.0054223618112570595
0.68,0.005588138786131073
0.7000000000000001,0.005751542141935395
0.72,0.005917720287481193
0.74,0.006082348294733136
0.76,0.006246662016164381
0.78,0.006411031403247331
0.8,0.006576105295228111
0.8200000000000001,0.006739738760974469
0.84,0.006904728023112861
0.86,0.00707079404974642
0.88,0.007236438857221064
0.9,0.007400156442813956
0.92,0.0075649820233595
0.9400000000000001,0.007731174550105505
0.96,0.007896202189124464
0.98,0.008061001756769158
1.0,0.008224066145791253
1.02,0.008390692423799955
1.04,0.008557623213770304
1.06,0.008719784372110627
1.08,0.008886618879247993
1.1,0.009051550296741371
1.12,0.009216721779195284
1.1400000000000001,0.009381650168818267
1.16,0.009549215349622865
1.18,0.009713315202165422
1.2,0.009877799933945039
1.22,0.010043805280074862
1.24,0.01020932775487342
1.26,0.010376921918633826
1.28,0.010541492962210942
1.3,0.01070799626925541
1.32,0.010873524551832724
1.34,0.011038446172555096
1.36,0.01120487174530238
1.3800000000000001,0.011372338811839239
1.4000000000000001,0.011535013937988937
1.42,0.011702458136075825
1.44,0.01187085492048218
1.46,0.012033803740200176
1.48,0.012200912947144796
1.5,0.012365806192727943
1.52,0.012530902897647316
1.54,0.012698350207808198
1.56,0.012866431917054753
1.58,0.013033963978282428
1.6,0.013198173863339945
1.62,0.013364673303402878
1.6400000000000001,0.01353509081494526
1.6600000000000001,0.013698923319199308
1.68,0.013863897981829257
1.7,0.014030259091477221
1.72,0.014197472767355435
1.74,0.014365978601265844
1.76,0.014536397102716338
1.78,0.014698668518489813
1.8,0.014865057866923772
1.82,0.015033105960158714
1.84,0.015203544256829257
1.86,0.015372437283135703
1.8800000000000001,0.015538161281349475
1.9000000000000001,0.01570571851433434
1.92,0.015870661319515127
1.94,0.01603911969347927
1.96,0.01620821157772091
1.98,0.0163729228123581
2.0,0.016541615299116304
2.02,0.016710243021808898
2.04,0.016881901746682137
2.06,0.017045166349294583
2.08,0.01721325609032591
2.1,0.017380840314379028
2.12,0.017549999423753085
2.14,0.017718592384221132
2.16,0.017887784457144788
2.18,0.018056375585729468
2.2,0.018223322577306675
2.22,0.018396246929396343
2.24,0.01856413145526815
2.2600000000000002,0.018732397907213056
2.2800000000000002,0.01890138749491256
2.3000000000000003,0.019069945046545817
2.32,0.019241027291938925
2.34,0.019406158729905067
2.36,0.0195807745420714
2.38,0.019748746871186305
2.4,0.019916568562877532
2.42,0.020083131876607017
2.44,0.020259934725972283
2.46,0.02042831368526781
2.48,0.020598288050605987
2.5,0.020770240827423854
2.52,0.020940730287388347
2.54,0.02110512203654267
2.56,0.0212768482630957
2.58,0.02144401724759955
2.6,0.021617742640866782
2.62,0.021792724021942354
2.64,0.02195971113590112
2.66,0.0221287534382573
2.68,0.022298233971241158
2.7,0.022476928142053397
2.72,0.022641930567082993
2.74,0.02281181461766243
2.7600000000000002,0.022988744698799482
2.7800000000000002,0.02315780176701542
2.8000000000000003,0.02332903405972228
2.82,0.023497985244125212
2.84,0.023676282642983378
2.86,0.023842455213880343
2.88,0.024016906216893587
2.9,0.024186013837218703
2.92,0.024361152541609078
2.94,0.024533037543655944
2.96,0.02470409644832
2.98,0.024878916948778963
3.0,0.025052024509758866
3.02,0.02522101769111757
3.04,0.025394682807898774
3.06,0.02556640898536271
3.08,0.025749545469083757
3.1,0.025913079340456335
3.12,0.026089941240028242
3.14,0.026270580650659656
3.16,0.026439041754473258
3.18,0.02661004403136973
3.2,0.026792381248005186
3.22,0.02696517407045102
3.24,0.027133054309487436
3.2600000000000002,0.027304995751338237
3.2800000000000002,0.02747979514685521
3.3000000000000003,0.027656670477511854
3.3200000000000003,0.02782959258350676
3.34,0.0280043354723258
3.36,0.028183880820839845
3.38,0.028365599111116142
3.4,0.02853182151110314
3.42,0.028710339507349095
3.44,0.028884762082399457
3.46,0.029061485568702163
3.48,0.02923707394475392
3.5,0.0294096422944971
3.52,0.029587165075610225
3.54,0.029765640411933744
3.56,0.029944524600451685
3.58,0.03012588275110178
3.6,0.030298692009943232
3.62,0.03047586598808846
3.64,0.030650953316791883
3.66,0.030835011728237344
3.68,0.031002323046466364
3.7,0.031182553649723978
3.72,0.031370026975121895
3.74,0.03154085557997046
3.7600000000000002,0.03171843583194521
3.7800000000000002,0.03189344233626549
3.8000000000000003,0.03207815472865866
3.8200000000000003,0.032256520659454606
3.84,0.03243187593583175
3.86,0.03261624286694205
3.88,0.03278895400387535
3.9,0.03298003346260199
3.92,0.03315235243070678
3.94,0.03333338542524627
3.96,0.03351961294419574
3.98,0.03368752286408427
4.0,0.03387061250427221
4.0200000000000005,0.03405470604531303
4.04,0.034231021015540104
