current_uA,voltage_V
0.0,-1.7954448170351341e-06
0.1,0.0005332307277370114
0.2,0.0010666554524622264
0.30000000000000004,0.001597622254344177
0.4,0.002133392981047928
0.5,0.002667913851087243
0.6000000000000001,0.003201985476431199
0.7000000000000001,0.0037360165280447854
0.8,0.004270570323320177
0.9,0.004805093173808706
1.0,0.0053389046575425345
1.1,0.005874304784903076
1.2000000000000002,0.006409879546141337
1.3,0.006944995460733917
1.4000000000000001,0.007481612648591093
1.5,0.008018812952514024
1.6,0.008558003816611426
1.7000000000000002,0.009101143573179241
1.8,0.009653251113360056
1.9000000000000001,0.010231577063041846
2.0,0.010947380187283428
2.1,0.02346214091568986
2.2,0.024780162278688043
2.3000000000000003,0.024999380869444057
2.4000000000000004,0.02507213326928748
2.5,0.02486683876065817
2.6,0.024113055917402464
2.7,0.02263932691632902
2.8000000000000003,0.021295023693830566
2.9000000000000004,0.02063026053913937
3.0,0.02040733474858697
3.1,0.020436783179830182
3.2,0.020623602266624488
3.3000000000000003,0.02092933215566958
3.4000000000000004,0.02132522996401949
3.5,0.021824863521424605
3.6,0.03504831146115709
3.7,0.022086487772367325
3.8000000000000003,0.023183267237604124
3.9000000000000004,0.02414235695022609
4.0,0.025750652374794028
4.1000000000000005,0.03800977778096772
4.2,0.04773213974070563
4.3,0.06366860780313717
4.4,0.07151634244587708
4.5,0.07554871840660383
4.6000000000000005,0.07910994174006901
4.7,0.10428571254638332
4.800000000000001,0.10179273939087867
4.9,0.10827543017437859
5.0,0.12311587297344007
5.1000000000000005,0.1280908757478017
5.2,0.13039187317542583
5.300000000000001,0.21448456293988566
5.4,0.2643327881845394
5.5,0.32166351991718334
5.6000000000000005,0.4758342687025738
5.7,0.632210613138845
5.800000000000001,0.8882062211853268
5.9,1.0147300503169465
6.0,1.094444941956004
6.1000000000000005,1.1735893724108142
6.2,1.269771293275067
6.300000000000001,1.3622964463338543
6.4,1.4413797161506499
6.5,1.526949919591812
6.6000000000000005,1.6123257062886998
6.7,1.6970976637348445
6.800000000000001,1.777752663077106
6.9,1.8626386610701597
7.0,1.9557467876238224
7.1000000000000005,2.0672179092492367
7.2,2.1527572323967963
7.300000000000001,2.260449991390395
7.4,2.366929525469623
7.5,2.483802998342063
7.6000000000000005,2.5997367806608818
7.7,2.7210413697260796
7.800000000000001,2.8611429826629413
7.9,2.886023670338655
8.0,3.1246906476046177
8.1,3.065389176114129
8.200000000000001,3.565157390507466
8.3,3.7106349043813047
8.4,3.8636162000761685
8.5,4.023247945603091
8.6,4.1835283934741065
8.700000000000001,4.347962293969137
8.8,4.516866185526834
8.9,4.688468401703967
9.0,4.866273454483605
9.1,5.049232449349366
9.200000000000001,5.241853216661061
9.3,5.448005292296232
9.4,5.677005070329687
9.5,5.9542980645916925
9.600000000000001,6.28131628493325
9.700000000000001,6.590967323052392
9.8,6.885187482009731
9.9,7.204355175272746
