current_uA,voltage_V
0.0,0.0
0.02,0.00010981841054175711
0.04,0.00021958827286492857
0.06,0.0003293313493184733
0.08,0.0004392740478833029
0.1,0.0005490461803615676
0.12,0.0006588547195173558
0.14,0.0007685458401542476
0.16,0.0008782346727238814
0.18,0.0009883633517097279
0.2,0.0010982192253113793
0.22,0.0012080767998603114
0.24,0.0013173669449245773
0.26,0.0014275825409822
0.28,0.0015374868616622056
0.3,0.0016471771851062228
0.32,0.0017572773807050563
0.34,0.0018673784736042845
0.36,0.0019771553222967296
0.38,0.0020874965833990486
0.4,0.0021961093492838643
0.42,0.002306073565108078
0.44,0.0024173672305305535
0.46,0.002526201772981377
0.48,0.0026368907064281658
0.5,0.0027465792323565566
0.52,0.002855637073877895
0.54,0.0029653749243038724
0.56,0.0030761483790654027
0.58,0.0031857828903237764
0.6,0.0032961105053837983
0.62,0.00340650686465194
0.64,0.003515495008476442
0.66,0.003625641553910416
0.68,0.0037359622380600224
0.7000000000000001,0.0038474607763223077
0.72,0.003956520031954776
0.74,0.0040660759053320365
0.76,0.004177050872829641
0.78,0.004287340278594173
0.8,0.004396210648683645
0.8200000000000001,0.004507880691202272
0.84,0.004617128797203458
0.86,0.004728636197907975
0.88,0.004838214499404068
0.9,0.004947250461451559
0.92,0.0050571079524475634
0.9400000000000001,0.005167332990718425
0.96,0.00527847472912049
0.98,0.005388165601458673
1.0,0.005498091419671213
1.02,0.005607091153373086
1.04,0.005718467828274261
1.06,0.0058284980343350275
1.08,0.005938821248012368
1.1,0.0060519736193246415
1.12,0.006162193476431806
1.1400000000000001,0.006269432923621112
1.16,0.006381974288586772
1.18,0.006492979561918939
1.2,0.006604326398955823
1.22,0.006711106993771764
1.24,0.006822685741633861
1.26,0.006935364668961072
1.28,0.007043288690274001
1.3,0.0071548589786831
1.32,0.007266357938075217
1.34,0.0073796112140249006
1.36,0.00748695615729066
1.3800000000000001,0.007599440986904661
1.4000000000000001,0.00771067312948656
1.42,0.007820455756159065
1.44,0.007930223272690544
1.46,0.008039583213683248
1.48,0.008150430696290446
1.5,0.00826079377891977
1.52,0.008373186144206743
1.54,0.008483649779041468
1.56,0.008595315533395443
1.58,0.008710289457575637
1.6,0.008821376847769971
1.62,0.008926608788357809
1.6400000000000001,0.009039413279783606
1.6600000000000001,0.009152206181611035
1.68,0.00926299830044149
1.7,0.009374705180546008
1.72,0.00948569012174907
1.74,0.009596773293272408
1.76,0.009705959696726036
1.78,0.009819969848876243
1.8,0.009930485697185413
1.82,0.010042743806541236
1.84,0.01015301203849485
1.86,0.01026471934464455
1.8800000000000001,0.010379791810096912
1.9000000000000001,0.010489745929480423
1.92,0.010600668852702179
1.94,0.01071060592799746
1.96,0.010822244581966326
1.98,0.010934110631628092
2.0,0.0110468752774883
2.02,0.011160452751943394
2.04,0.011269151380088311
2.06,0.011382934609106188
2.08,0.011493222103121275
2.1,0.011606358956916179
2.12,0.011719734601978834
2.14,0.011829015682548912
2.16,0.011940439736204919
2.18,0.01205936414297559
2.2,0.012164988992126431
2.22,0.012281615477465474
2.24,0.01239087061407378
2.2600000000000002,0.012505684681907785
2.2800000000000002,0.012617085398218571
2.3000000000000003,0.012726924726483596
2.32,0.012843258693314758
2.34,0.01295645823275235
2.36,0.013070668649012808
2.38,0.0131833621864114
2.4,0.013290112099015807
2.42,0.013407400835109311
2.44,0.013521563511426995
2.46,0.013633880514513957
2.48,0.013744924055864145
2.5,0.013863281878959834
2.52,0.013972832738899455
2.54,0.01408171069471208
2.56,0.014202192613364676
2.58,0.014311390234762057
2.6,0.014428665462464798
2.62,0.014534244103887586
2.64,0.014656475048230484
2.66,0.01476173974213383
2.68,0.014873937175437188
2.7,0.01499377593971025
2.72,0.015103002725390937
2.74,0.015219722215038114
2.7600000000000002,0.015329688120427048
2.7800000000000002,0.015450432123573046
2.8000000000000003,0.01555614985631759
2.82,0.01567004865022596
2.84,0.01578762454316519
2.86,0.015902685240501473
2.88,0.016015970294459333
2.9,0.016132272158231264
2.92,0.01624586912519698
2.94,0.016358944312850614
2.96,0.016476577150862363
2.98,0.01658720898057722
3.0,0.016707942031979686
3.02,0.016818018593942247
3.04,0.016932788824249635
3.06,0.01704670954557865
3.08,0.017161952263484485
3.1,0.017278232841927407
3.12,0.017396348559823503
3.14,0.017511566889299925
3.16,0.01763049914185985
3.18,0.01773953235199711
3.2,0.017858448154756075
3.22,0.017965517195444328
3.24,0.018090638463244057
3.2600000000000002,0.01819877459530643
3.2800000000000002,0.018323282582685882
3.3000000000000003,0.01842937082206266
3.3200000000000003,0.018548931263317813
3.34,0.01866064082465467
3.36,0.018787017915161075
3.38,0.018893301666061197
3.4,0.019010442952462858
3.42,0.01913171282769364
3.44,0.019246972435947925
3.46,0.01936120721766194
3.48,0.019485353176930516
3.5,0.01960113004317303
3.52,0.01971328841747986
3.54,0.019823591711006033
3.56,0.019943332492126334
3.58,0.020056371821711088
3.6,0.0201876090626861
3.62,0.02029694754760071
3.64,0.02041129475387131
3.66,0.02053954956604122
3.68,0.020650145543781667
3.7,0.020762264192622712
3.72,0.02088919469763168
3.74,0.02099754324858802
3.7600000000000002,0.021127167131674052
3.7800000000000002,0.021246615143460365
3.8000000000000003,0.021354114054657525
3.8200000000000003,0.021469559546272568
3.84,0.021594974442865275
3.86,0.02171912185712457
3.88,0.021823441607058795
3.9,0.021946823556417968
3.92,0.022066966884249934
3.94,0.02218635624149019
3.96,0.022308466370982275
3.98,0.02241776270115298
4.0,0.022539882164159933
4.0200000000000005,0.022666582778022675
