current_µA,voltage_V
0.0,0.0
0.1,0.0003519353172193105
0.2,0.0007040380878895844
0.30000000000000004,0.0010556609444616327
0.4,0.001406961024794516
0.5,0.0017598619713404078
0.6000000000000001,0.002111533825169383
0.7000000000000001,0.0024635504204454347
0.8,0.0028159813915814244
0.9,0.003167944378621209
1.0,0.003520307678383949
1.1,0.0038726579037067464
1.2000000000000002,0.004224195183355393
1.3,0.0045769623408160225
1.4000000000000001,0.004930027746439932
1.5,0.005283019822459326
1.6,0.005636663781188514
1.7000000000000002,0.005989094989736401
1.8,0.006341900519560177
1.9000000000000001,0.006696862122100679
2.0,0.0070490603416303605
2.1,0.007401817707708477
2.2,0.0077558288408486305
2.3000000000000003,0.008110797776082944
2.4000000000000004,0.008465783212196487
2.5,0.008821346562603324
2.6,0.00917549469635666
2.7,0.009528238209668837
2.8000000000000003,0.009885714303540585
2.9000000000000004,0.010242658260033429
3.0,0.010596692201047031
3.1,0.01095191871045613
3.2,0.011308805864728096
3.3000000000000003,0.011667016001679062
3.4000000000000004,0.012024832696525817
3.5,0.012381684734135943
3.6,0.012738786942022257
3.7,0.013096679016256534
3.8000000000000003,0.013454503326160773
3.9000000000000004,0.013815029520945016
4.0,0.014173883362088267
4.1000000000000005,0.014529969433312476
4.2,0.014892452626883707
4.3,0.015251286817232118
4.4,0.015612999648781795
4.5,0.015973245267627726
4.6000000000000005,0.016335294305234643
4.7,0.01669598064760121
4.800000000000001,0.017061022433585194
4.9,0.017420039319023372
5.0,0.017783786477680676
5.1000000000000005,0.018151573467329454
5.2,0.018513672505149553
5.300000000000001,0.018878765144830386
5.4,0.01924632312843783
5.5,0.019613257848202968
5.6000000000000005,0.019977783545604907
5.7,0.020346227976819144
5.800000000000001,0.020713150707567275
5.9,0.021082958836136662
6.0,0.0214480762904783
6.1000000000000005,0.021821292593437264
6.2,0.022187302814906343
6.300000000000001,0.022561804784143425
6.4,0.022928318266309616
6.5,0.023300965085530548
6.6000000000000005,0.023673152742235408
6.7,0.024045601110464932
6.800000000000001,0.024419098351573514
6.9,0.024798987079524104
7.0,0.025175769993286717
7.1000000000000005,0.02555304344265905
7.2,0.025929532000837408
7.300000000000001,0.026302835277104072
7.4,0.026685875351466853
7.5,0.027066231496343327
7.6000000000000005,0.02744294528724712
7.7,0.02782074048588978
7.800000000000001,0.028208552655568354
7.9,0.028586004912968456
8.0,0.028974084139832653
8.1,0.02935943275452756
8.200000000000001,0.029735833083603544
8.3,0.03012651700348757
8.4,0.030513487734238686
8.5,0.030906927822543326
8.6,0.031286961924776646
8.700000000000001,0.03167910381880227
8.8,0.03207318874527096
8.9,0.03246094270162176
9.0,0.03286312755346581
9.1,0.033252847981080316
9.200000000000001,0.03364998643994372
9.3,0.03404876457974204
9.4,0.03443995646756349
9.5,0.03484466939252202
9.600000000000001,0.03524525600756365
9.700000000000001,0.03564461148545742
9.8,0.036040912244939015
9.9,0.036451107323381166
10.0,0.036854620063263586
10.100000000000001,0.037263140995119126
10.200000000000001,0.0376634671363572
10.3,0.03806877724830537
10.4,0.03848102360208321
10.5,0.03890006497982544
10.600000000000001,0.03930104830808478
10.700000000000001,0.03971795598625067
10.8,0.04013939680562963
10.9,0.04055100904592832
11.0,0.040972824049209565
11.100000000000001,0.04139035782537376
11.200000000000001,0.04181488127924883
11.3,0.04222668873095743
11.4,0.04266199495691818
11.5,0.04308725355389193
11.600000000000001,0.043516022356874705
11.700000000000001,0.043937900519234886
11.8,0.044368129772686574
11.9,0.04479870749451844
12.0,0.04524051504941827
12.100000000000001,0.04567407043166409
12.200000000000001,0.046110660066176375
12.3,0.04655868062193314
12.4,0.0469910968128199
12.5,0.0474319115834205
12.600000000000001,0.0478769279049381
12.700000000000001,0.04833533816228547
12.8,0.04877646356551107
12.9,0.04922372736212562
13.0,0.04969032253356369
13.100000000000001,0.05013568760265313
13.200000000000001,0.05059207513974208
13.3,0.051056499810718685
13.4,0.0515188249322518
13.5,0.05197545316880088
13.600000000000001,0.0524474399222559
13.700000000000001,0.05291645694777187
13.8,0.053385516262677325
13.9,0.05386564111783462
14.0,0.05435118242473153
14.100000000000001,0.05482925787431754
14.200000000000001,0.055311628625433026
14.3,0.055787607783025196
14.4,0.056266942842129554
14.5,0.05676637856405403
14.600000000000001,0.05726566416667175
14.700000000000001,0.05776091500557502
14.8,0.05825275051927139
14.9,0.058760822787012654
15.0,0.059258892720559314
15.100000000000001,0.05975946545815205
15.200000000000001,0.060277261384847194
15.3,0.060796318517653394
15.4,0.061320237669594733
15.5,0.061830593773819414
15.600000000000001,0.06235911970087936
15.700000000000001,0.062889582328244
15.8,0.06342138969443571
15.9,0.0639496217936815
16.0,0.06449914301708218
16.1,0.06504413302813121
16.2,0.06558478587393521
16.3,0.06615119698754231
16.400000000000002,0.06669236045907276
16.5,0.06726916979329793
16.6,0.06782001348513028
16.7,0.06839323065776759
16.8,0.06896776661102494
16.900000000000002,0.06954517406517269
17.0,0.07013984509489406
17.1,0.07072650947551003
17.2,0.07132238811961032
17.3,0.07192380241640463
17.400000000000002,0.07252863484396535
17.5,0.07313782028865395
17.6,0.07375251138542352
17.7,0.07438151755450383
17.8,0.07500013483072382
17.900000000000002,0.07563595101722813
18.0,0.07628573850908285
18.1,0.07693992102890837
18.2,0.07758655683744269
18.3,0.07825298611243961
18.400000000000002,0.07891464143331035
18.5,0.07960956139195999
18.6,0.08028835787331427
18.7,0.08097696593874579
18.8,0.08168404308391214
18.900000000000002,0.08239440713084553
19.0,0.08311649062109637
19.1,0.0838461003238761
